system|sub_system|sub_sub_system|department
SWITCH 4|FALLBACK PANEL|HOUR METER ( Müller BW70.18 )|TNMD
SWITCH 4|FALLBACK PANEL|MAGNETIC CONTACTOR (Fuji Electric SC-05)|TNMD
SWITCH 4|FALLBACK PANEL|RELAY SOCKET (OMRON G7T - 112S 04Z7E7)|TNMD
SWITCH 4|FALLBACK PANEL|AUXILLARY CONTACT BLOCK (Schneider Electric TeSys LADN04)|TNMD
SWITCH 4|FALLBACK PANEL|AUXILLARY CONTACT BLOCK (Telemecanique LA1 DN 13 )|TNMD
SWITCH 4|FALLBACK PANEL|TIMER With Base (OMRON Omron H3CR-A8)|TNMD
SWITCH 4|FALLBACK PANEL|RELAY CONTACT With Base (NIPPON MK2PN-I)|TNMD
SWITCH 4|FALLBACK PANEL|Attach Sensor & Limit Switch|TNMD
SWITCH 5 & 6|Switchdeck & RC Beam|RC Beam|TNMD
SWITCH 5 & 6|Switchdeck & RC Beam|Stopper And Carriage Way|TNMD
SWITCH 5 & 6|Carriage Including Carriage Wheel|(Attach Sensor Carriage)|TNMD
SWITCH 5 & 6|Carriage Including Carriage Wheel|Serial No. 480-0050-0703-A Motor Carriage- Typ: ADE50DD Length- 3 971mm Width- 300mm 400Vac , 3P 1.1 kW SAE 90 Gear Oil|TNMD
SWITCH 5 & 6|Carriage Including Carriage Wheel|ZBA 80/90A B020 BRAKE|TNMD
SWITCH 5 & 6|Locking Pin Assembly|(Attach Lockpin Depan)|TNMD
SWITCH 5 & 6|Locking Pin Assembly|Serial No. 9434 8042 50Hz Hook- 5m 415V - 3P|TNMD
SWITCH 5 & 6|Locking Pin Assembly|Proximity Sensor PEPPERL FUCHS NBB15-30GM50-WS Part No. 801650|TNMD
SWITCH 5 & 6|Switch Beam|T-Shaft / T-Coupler|TNMD
SWITCH 5 & 6|Switch Beam|Pivot|TNMD
SWITCH 5 & 6|VFD/Inverter Motor|Dedrive Pro 880 50/60Hz 400vac , 3P|TNMD
SWITCH 5 & 6|Resistor ( Perintang )|Serial No. 232461 Part No. Or Drawing LC729DBR 1.6kW 120 ohm 3.65 amph|TNMD
SWITCH 5 & 6|Local Control Panel|Schneider CAD32 (Detail Contactor Brpa Volt)|TNMD
SWITCH 5 & 6|Local Control Panel|Schneider LC1 D09 (Detail Contactor Brpa Volt)|TNMD
SWITCH 5 & 6|Local Control Panel|Power Supply 110V / 220V (Detail Input & Output)|TNMD
SWITCH 5 & 6|Local Control Panel|Relay ICE225 5A 24VDC|TNMD
SWITCH 5 & 6|Local Control Panel|Telemecanique LADN40|TNMD
