system|sub_system|sub_sub_system|root_cause|department
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|MCB issue|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Relay issue|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Selector switch broken|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|PLC hang|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Push button broken|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Diode broken|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Power lost due to RCCB tripped|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|HMI hang|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|No connection on LCU network|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Power supply burst|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|MCB issue|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Relay issue|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Selector switch broken|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|PLC hang|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Push button broken|WS20
PAGS|(PDB) Platform Distribution Box|1 Phase Overvoltage Protection Relay|Diode broken|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Power lost due to RCCB tripped|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|HMI hang|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|No connection on LCU network|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Power supply burst|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|MCB issue|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Relay issue|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Selector switch broken|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|PLC hang|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Push button broken|WS20
PAGS|(PDB) Platform Distribution Box|Earthing Busbar|Diode broken|WS20
PAGS|Light Curtain|Receiver IP65|Obstacle fault|WS20
PAGS|Light Curtain|Receiver IP65|Light curtain fault|WS20
PAGS|Light Curtain|Emitter IP65|Obstacle fault|WS20
PAGS|Light Curtain|Emitter IP65|Light curtain fault|WS20
PAGS|Sensor|Distance Measurement Sensor|SPS 1 sensor error|WS20
PAGS|Sensor|Distance Measurement Sensor|SPS 2 sensor error|WS20
PAGS|Sensor|Distance Measurement Sensor|DS 1 sensor error|WS20
PAGS|Sensor|Distance Measurement Sensor|DS 2 sensor error|WS20
PAGS|Sensor|Stop Position Sensor|SPS 1 sensor error|WS20
PAGS|Sensor|Stop Position Sensor|SPS 2 sensor error|WS20
PAGS|Sensor|Stop Position Sensor|DS 1 sensor error|WS20
PAGS|Sensor|Stop Position Sensor|DS 2 sensor error|WS20
PAGS|(EED) Emergency Exit Door|Panic Bar / Door Locking Panel|Glass crack / broken|WS20
PAGS|(EED) Emergency Exit Door|Panic Bar / Door Locking Panel|Locking panel broken|WS20
PAGS|(EED) Emergency Exit Door|Tempered Glass Panel|Glass crack / broken|WS20
PAGS|(EED) Emergency Exit Door|Tempered Glass Panel|Locking panel broken|WS20
PAGS|(EED) Emergency Exit Door|Hinge Door|Glass crack / broken|WS20
PAGS|(EED) Emergency Exit Door|Hinge Door|Locking panel broken|WS20
PAGS|(PED) Platform End Door|Panic Bar / Door Locking Panel|Glass crack / broken|WS20
PAGS|(PED) Platform End Door|Panic Bar / Door Locking Panel|Locking panel broken|WS20
PAGS|(PED) Platform End Door|Tempered Glass Panel|Glass crack / broken|WS20
PAGS|(PED) Platform End Door|Tempered Glass Panel|Locking panel broken|WS20
PAGS|(PED) Platform End Door|Hinge Door|Glass crack / broken|WS20
PAGS|(PED) Platform End Door|Hinge Door|Locking panel broken|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Motor / Gear Box Assembly|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|MC521 Control Box|Motor power failure|WS20
